category_name,burmese_word,devanagari,english_meaning,source,first_consonant,word_length
Fruits,လိမ္မော်သီး,लि1म्मा1दि3,Orange,kg_book,လ,11
Fruits,နာနတ်သီး,ना2नत1दि3,Pineapple,kg_book,န,8
Fruits,သခွားမသီး,थ1ख्वा3म1दि3,Melon,kg_book,သ,9
Fruits,စပျစ်သီး,स1प्ये?2दि3,Grapes,kg_book,စ,8
Fruits,ငှက်ပျောသီး,ङ्हेतप्यौ3दि3,Banana,kg_book,င,11
Fruits,ချယ်ရီ,चे³¹12रि2,Cherry,kg_book,ခ,6
Fruits,မာလကာ,मा2ल1गा2,Guava,kg_book,မ,5
Fruits,ဖရဲသီး,फ1ये³¹13दि3,Watermelon,kg_book,ဖ,6
Fruits,သစ်တော်သီး,थे?2दौ2दि3,Pear,kg_book,သ,10
Fruits,သဖန်းသီး,थ1फं13दि3,Fig,kg_book,သ,8
Fruits,ကီဝီသီး,कि2वि2दि3,Kiwi,kg_book,က,7
Fruits,သင်္ဘောသီး,थिं2बौ3दि3,Papaya,kg_book,သ,10
Fruits,အုန်းသီး,ओन13दि3,Coconut,kg_book,အ,8
Fruits,ဂရိတ်ဖရု,ग1यै1फ1यु1,Grapefruit,kg_book,ဂ,8
Transportation,မိုဘိုင်း,मो2बाइन3,Transportation,kg_book,မ,9
Transportation,ဘယ်သွားရမလဲ,बे³¹12थ्वा3य1म1ले³¹13,Where should I go?,kg_book,ဘ,11
Transportation,ဘတ်စ်ကား,बत1झ1,Bus,kg_book,ဘ,8
Transportation,ရထား,य1दा3,Train,kg_book,ရ,4
Transportation,ကား,का3,Car,kg_book,က,3
Transportation,လေယာဉ်ပျံ,ले2या2,Airplane,kg_book,လ,9
Transportation,သင်္ဘော,थिं2बौ3,Ship,kg_book,သ,7
Transportation,လှေ,ल्हे2,Boat,kg_book,လ,3
Transportation,ရေငုပ်သင်္ဘော,ये2ङोपदिं2बौ3,Submarine,kg_book,ရ,13
Transportation,စက်ဘီး,सेतबि3,Bicycle,kg_book,စ,6
Transportation,မြေအောက်ရထား,म्ये2औतय1दा3,Subway,kg_book,မ,12
Transportation,ဆိုင်ကယ်,साइन2गे³¹12,Motorbike,kg_book,ဆ,8
Transportation,ရဟတ်ယာဉ်,य1हत1या2,Helicopter,kg_book,ရ,8
Transportation,တက္ကစီ,त1क्कसि2,Taxi,kg_book,တ,6
Shopping,ဈေးဝယ်ထွက်,झे3वे³¹12थ्वेत,Shopping,kg_book,ဈ,10
Shopping,တစ်ခုခု ရှာနေတာလား။,ते?2गु1गु1शा2ने2दा2ला3။,Are you looking for something?,kg_book,တ,19
Shopping,လိုက်ရှာနေတယ်။,लाइशा2ने2दे³¹12။,I'm just looking,kg_book,လ,14
Shopping,ပိုကြီးတဲ့တစ်ခုခုများရှိပါသလား,पो2चि3दे³¹111दे?2गु1गु1म्या3शि1बा2द1,Do you have a larger one,kg_book,ပ,30
Shopping,ဒီထက်သေးတာရှိသေးလား။,दि2देतदे3दा2शि1दे3ला3။,Is there anything smaller,kg_book,ဒ,20
Shopping,စမ်းကြည့်လို့ရမလား။,सं23जा1ज्ञ1,Can I try it on,kg_book,စ,19
Shopping,ဘယ်လောက်လဲ,बे³¹12लौ?1ले³¹13,How much is it,kg_book,ဘ,10
Shopping,ငါ့ကိုလျှော့ပေးနိုင်မလား,ङा2,Can you discount me?,kg_book,င,24
Shopping,နည်းနည်းပိုမယ်ထင်တယ်။,ने³¹23ने³¹23बो2मे³¹12दिन2दे³¹12။,A little more I think,kg_book,န,21
Shopping,ဒါကို ယူပါ။,दा2गो2यु2बा2။,Take this,kg_book,ဒ,11
Shopping,ပြေစာတစ်ခုပေးပါ။,प्ये2झा2दे?2गु1बे3बा2။,Give me a receipt,kg_book,ပ,16
Shopping,အဲဒါကို ပြန်ပေးချင်ပါတယ်။,ए³¹13दा2गो2प्यं12बे3छिन2बा2दे³¹12။,I'd like to return it.,kg_book,အ,25
Hotel,ဟိုတယ်,हो2दे³¹12,Hotel,kg_book,ဟ,6
Hotel,အခန်းလွတ်ရှိပါသလား။,अ1गं13लुत1शि1बा2द1ला3။,Is there a vacant room?,kg_book,အ,19
Hotel,ကျွန်တော်ကြိုတင်နေရာယူထားပါတယ်,चुन12दौ2चो2दिन2ने2या2यु2दा3बा2दे³¹12,I have a reservation,kg_book,က,30
Hotel,လူပျို,लु2प्यो2,Single,kg_book,လ,6
Hotel,နှစ်ချက်,न्हे?2छेत,Double,kg_book,န,8
Hotel,အမွှာ,अ1म्हवा2,Twin,kg_book,အ,5
Hotel,ငါ နှစ်ရက်နေမယ်။,ङा2न्हे?2येतने2मे³¹12။,I will stay for two days.,kg_book,င,16
Hotel,တစ်ညဘယ်လောက်လဲ။,ते?2ज्ञ1बे³¹12लौ?1ले³¹13။,How much is it overnight,kg_book,တ,15
Hotel,မနက်စာပါဝင်ပါသလား,म1नेतझा2बा2विन2बा2द1ला3,Is breakfast included,kg_book,မ,17
Hotel,ငွေရှင်းချိန်က ဘယ်နှနာရီလဲ။,ङ्वे2शिन3छेन12ग1बे³¹12न्ह1ना2यि2ले³¹13။,What time is checkout,kg_book,င,27
Hotel,ရေပူ မရှိပါဘူး,ये2बु2म1शि1बा2बु3,There is no hot water,kg_book,ရ,14
Hotel,လေအေးပေးစက် မတွဲပါဘူး။,ले2ए3बे3झेतम1त्वे³¹13बा2बु3။,Air conditioner does not attach,kg_book,လ,22
Hotel,အိမ်သာက မစီးဘူး။,एम2दा2ग1म1झि3बु3။,The toilet does not flow,kg_book,အ,16
Hotel,အခန်းသော့ကို အခန်းထဲမှာ မေ့သွားတယ်။,अ1गं13दौ1गो2अ1गं13दे³¹13म्हा2मे1थ्वा3,I forgot my room key in the room,kg_book,အ,35
Hotel,ငါ့အထုပ်အပိုးကို သိမ်းထားနိုင်မလား။,ङा2,Can you keep my luggage,kg_book,င,35
Hotel,အခန်းသော့,अ1गं13दौ1,Room key,kg_book,အ,9
Hotel,Wifi စကားဝှက်,,Wifi password,kg_book,စ,13
Hotel,သန့်ရှင်းရေး,थ1न1,Cleaning,kg_book,သ,12
Hotel,သန့်ရှင်းရေးဝန်ဆောင်မှု,थ1न1,Cleaning service,kg_book,သ,23
Hotel,သံ,थं32,Iron,kg_book,သ,2
Hotel,ဓာတ်သတ္တုရေ,धत4द1द1,Mineral water,kg_book,ဓ,11
Hotel,စောင်,सौं2,Blanket,kg_book,စ,5
Hotel,မျက်နှာသုတ်ပုဝါ,म्येतन्हा2दोटबु1वा2,Towel,kg_book,မ,15
Hotel,လေမှုတ်စက်,ले2म्होटझेत,Dryer,kg_book,လ,10
Body,ခန္ဓာကိုယ်,ख1न1,Body,kg_book,ခ,10
Body,ဘယ်နားကနာနေပါလဲ?,बे³¹12ना3ग1ना2ने2बा2ले³¹111,Where does it hurt?,kg_book,ဘ,16
Body,မျက်လုံး,म्येतलों23,Eye,kg_book,မ,8
Body,နှာခေါင်း,न्हा2गौं3,nose,kg_book,န,9
Body,ပါးစပ်,पा3झत2,mouth,kg_book,ပ,6
Body,မျက်နှာ,म्येतन्हा2,face,kg_book,မ,7
Body,ဦးခေါင်း,,Head,kg_book,ခ,8
Body,လည်ပင်း,ले³¹22बिन3,neck,kg_book,လ,7
Body,ဆံပင်,सं32बिन2,hair,kg_book,ဆ,5
Body,နား,ना3,ear,kg_book,န,3
Body,သွား,थ्वा3,tooth,kg_book,သ,4
Body,ခြေသည်း,छे2दे³¹23,claw,kg_book,ခ,7
Body,လက်ညှိုး,लेतज्ञ्होए,finger,kg_book,လ,8
Body,လက်,लेत,hand,kg_book,လ,3
Body,လက်မောင်း,लेतमौं3,arm,kg_book,လ,9
Body,ပခုံး,प1गों23,shoulder,kg_book,ပ,5
Body,ခြေချောင်းများ,छे2छौं3म्या3,Toes,kg_book,ခ,14
Body,ခြေထောက်များ,छे2दौ?1म्या3,legs,kg_book,ခ,12
Body,ဗိုက်,बाइ,stomach,kg_book,ဗ,5
Date,ရက်စွဲ,येतस्वे³¹13,Date,kg_book,ရ,6
Date,ဒီနေ့ဘာနေ့ပါလဲ?,दि2ने1बा2ने1बा2ले³¹111,What day is today?,kg_book,ဒ,15
Date,နေ့,ने1,Day,kg_book,န,3
Date,ဒီနေ့,दि2ने1,Today,kg_book,ဒ,5
Date,မနေ့က,म1ने1ग1,Yesterday,kg_book,မ,5
Date,သဘက်ခါ,थ1बेतगा2,Day after tomorrow,kg_book,သ,6
Date,မနက်ဖြန်,म1नेतफ्यं12,Tomorrow,kg_book,မ,8
Date,တစ်နှစ်,ते?2न्हे?2,Year,kg_book,တ,7
Date,လ,ल1,Month,kg_book,လ,1
Date,အေးလေ,ए3ले2,Week,kg_book,အ,5
Date,တနင်္ဂနွေ,त1निं2ग1न्वे2,Sunday,kg_book,တ,9
Date,တနင်္လာနေ့,त1निं2ला2ने1,Monday,kg_book,တ,10
Date,အင်္ဂါ,इन122गा2,Tuesday,kg_book,အ,6
Date,ဗုဒ္ဓဟူးနေ့,बु1द1,Wednesday,kg_book,ဗ,11
Date,ကြာသပတေးနေ့,चा2द1ब1दे3ने1,Thursday,kg_book,က,11
Date,သောကြာ,थौ3चा2,Friday,kg_book,သ,6
Date,စနေနေ့,स1ने2ने1,Saturday,kg_book,စ,6
Date,ရာသီဥတု,या2दि2उ1दु1,The season,kg_book,ရ,7
Date,ဘယ်ရာသီကို ကြိုက်လဲ။,बे³¹12या2दि2गो2चाइले³¹13။,What season do you like?,kg_book,ဘ,20
Date,နွေဦး,न्वे2,Spring,kg_book,န,5
Date,နွေရာသီ,न्वे2या2दि2,Summer,kg_book,န,7
Date,ဆောင်းဦး,सौं3,Autumn,kg_book,ဆ,8
Date,ဆောင်းရာသီ,सौं3या2दि2,Winter,kg_book,ဆ,10
Date,မင်းဘယ်လမှာမွေးတာလဲ။,मिन3बे³¹12ल1म्हा2म्वे3दा2ले³¹13။,What month were you born?,kg_book,မ,20
Date,သင့်မွေးနေ့ဘယ်တော့လဲ?,थिन1म्वे3ने1बे³¹12दौ1ले³¹111,When is your birthday?,kg_book,သ,21
Date,ဇန်နဝါရီလ,जं12न1वा2यि2ल1,January,kg_book,ဇ,9
Date,ဖေဖော်ဝါရီ,फे2फौ2वा2यि2,February,kg_book,ဖ,10
Date,မတ်လ,मत1ल1,March,kg_book,မ,4
Date,ဧပြီလ,इ1प्यि2ल1,April,kg_book,ပ,5
Date,မေ,मे2,May,kg_book,မ,2
Date,ဇွန်လ,जुन12ल1,June,kg_book,ဇ,5
Date,ဇူလိုင်လ,जु2लाइन2ल1,July,kg_book,ဇ,8
Date,သြဂုတ်လ,थ्य1गोटल1,August,kg_book,သ,7
Date,စက်တင်ဘာ,सेतदिन2बा2,September,kg_book,စ,8
Date,အောက်တိုဘာလ,औतदो2बा2ल1,October,kg_book,အ,11
Date,နိုဝင်ဘာလ,नो2विन2बा2ल1,November,kg_book,န,9
Family,မိသားစု,मि1दा3झु1,Family,kg_book,မ,7
Family,ဘယ်သူလဲ?,बे³¹12दु2ले³¹111,Who is it?,kg_book,ဘ,8
Family,ငါ,ङा2,I,kg_book,င,2
Family,ဖေဖေ,फे2फे2,Father,kg_book,ဖ,4
Family,မေမေ,मे2मे2,Mother,kg_book,မ,4
Family,အစ်ကိုအကြီး,आ1को2आ1क्यि3,Elder brother,kg_book,အ,11
Family,အစ်မ,अ1मा1,Elder sister,kg_book,အ,4
Family,ညီအငယ်,ज्ञि2अ1ङे³¹12,Younger brother,kg_book,ည,6
Family,ညီမအငယ်,ज्ञि2म1अ1ङे³¹12,Younger sister,kg_book,ည,7
Family,အဖိုး,अ1फोए,Grandfather,kg_book,အ,5
Family,အဖွား,अ1फ्वा3,Grandmother,kg_book,အ,5
Family,သားတော်,था3दौ2,Son,kg_book,သ,7
Family,သမီး,थ1मि3,Daughter,kg_book,သ,4
Family,ခင်ပွန်း,खिन2बुन13,Husband,kg_book,ခ,8
Family,မယား,म1या3,Wife,kg_book,မ,4
Directions,ဦးတည်ချက်,,Directions,kg_book,တ,9
Directions,ဘူတာရုံက ဘယ်မှာလဲ။,बु2दा2यों22ग1बे³¹12म्हा2ले³¹13။,Where is the bus stop?,kg_book,ဘ,18
Directions,ဘတ်စ်ကားမှတ်တိုင်က ဘယ်မှာလဲ။,बत1झ1,bus,kg_book,ဘ,28
Directions,ရှေ့တည့်တည့်ကို သွားပါ။,शे1द1ज्ञ1,Go straight ahead,kg_book,ရ,23
Directions,လက်ဝဲဘက်ကွေ့ပါ,लेतवे³¹13बेतक्वे1बा2,Turn left,kg_book,လ,14
Directions,လက်ယာဘက်ကွေ့ပါ,लेतया2बेतक्वे1बा2,Turn right,kg_book,လ,14
Directions,မီ,मि2,Before,kg_book,မ,2
Directions,နောက်ကွယ်,नौ?1क्वे³¹12,Behind,kg_book,န,9
Directions,ဘေး,बे3,Next to,kg_book,ဘ,3
Directions,လမ်းတစ်ဖက်,लं23दे?2फेत,Across the street,kg_book,လ,10
Directions,ထောင့်,थौ3ङ1,Corner,kg_book,ထ,6
Directions,ဝဲ,वे³¹13,Left,kg_book,ဝ,2
Directions,မှန်တယ်။,म्हं12दे³¹12။,Right,kg_book,မ,8
Directions,တက်,तेत,Up,kg_book,တ,3
Directions,ဆင်းတယ်။,सिन3दे³¹12။,Down,kg_book,ဆ,8
Directions,မြောက်ဦး,म्यौ?1,North,kg_book,မ,8
Directions,အရှေ့,अ1शे1,East,kg_book,အ,5
Directions,အနောက်,अ1नौ?1,West,kg_book,အ,6
Weather,ရာသီဥတု ဘယ်လိုလဲ။,या2दि2उ1दु1बे³¹12लो2ले³¹13။,How is the weather?,kg_book,ရ,17
Weather,နေသာသည်။,ने2दा2दे³¹22။,Sunny,kg_book,န,8
Weather,တိမ်ထူတယ်။,तेन22दु2दे³¹12။,Cloudy,kg_book,တ,10
Weather,မိုး,मोए,Rain,kg_book,မ,4
Weather,နှင်း,न्हिन3,Snow,kg_book,န,5
Weather,လေတိုက်သည်။,ले2दाइदे³¹22။,Wind,kg_book,လ,11
Weather,မြူနှင်း,म्यु2न्हिन3,Fog,kg_book,မ,8
Weather,ပူတယ်။,पु2दे³¹12။,Hot,kg_book,ပ,6
Weather,အေး,ए3,Cold,kg_book,အ,3
Weather,နွေးထွေးတယ်။,न्वे3थ्वे3दे³¹12။,Warm,kg_book,န,12
Weather,အေးတယ်။,ए3दे³¹12။,Cool,kg_book,အ,7
Weather,ခြောက်သွေ့,छौ?1थ्वे1,Dry,kg_book,ခ,10
Hobby,ဝါသနာ,वा2द1ना2,Hobby,kg_book,ဝ,5
Hobby,မင်းရဲ့ဝါသနာကဘာလဲ,मिन3ये³¹111वा2द1ना2ग1बा2ले³¹13,What is your hobby,kg_book,မ,17
Hobby,ဖတ်ရန်,फत1यं12,To read,kg_book,ဖ,6
Hobby,ချက်ပြုတ်ရန်,छेतप्योटयं12,to cook,kg_book,ခ,12
Hobby,ပုံတစ်ခုဆွဲပါ။,पों22दे?2गु1स्वे³¹13बा2။,draw a picture,kg_book,ပ,14
Hobby,စန္ဒယားတီးတယ်။,स1न1,play piano,kg_book,စ,14
Hobby,ဂီတတူရိယာတစ်ခုတီးပါ။,गि2द1दु2यि1या2दे?2गु1दि3बा2။,Play a musical instrument,kg_book,ဂ,20
Hobby,သီချင်းဆို,थि2छिन3झो2,sing,kg_book,သ,10
Hobby,ကခုန်သည်။,क1गों12दे³¹22။,dance,kg_book,က,9
Tableware,ပန်းကန်ခွက်ယောက်,पं13गं12ख्वेतयौ?1,Tableware,kg_book,ပ,16
Tableware,အမဲချိတ်,अ1मे³¹13छै1,Fork,kg_book,အ,8
Tableware,ဓား,धा3,Knife,kg_book,ဓ,3
Tableware,ဇွန်း,जुन13,Spoon,kg_book,ဇ,5
Tableware,မီးခြစ်,मि3छे?2,Chopsticks,kg_book,မ,7
Tableware,ပန်းကန်,पं13गं12,Dish,kg_book,ပ,7
Tableware,ရေယာဉ်,ये2या2,Vessel,kg_book,ရ,6
Tableware,ဖန်,फं12,Glass,kg_book,ဖ,3
Tableware,ဖလား,फ1ला3,Cup,kg_book,ဖ,4
Tableware,လက်သုတ်ပဝါ,लेतदोटब1वा2,Napkin,kg_book,လ,10
Seasoning,ဟင်းခတ်အနှစ်,हिन3गत1अ1न्हे?2,Seasoning,kg_book,ဟ,12
Seasoning,ကျေးဇူးပြုပြီး ယူလို့ရမလား။,चे3जु3प्यु1प्यि3यु2लो1य1म1ला3။,Could you please take?,kg_book,က,27
Seasoning,ဆားငန်,सा3ङं12,Salt,kg_book,ဆ,6
Seasoning,ငရုတ်ကောင်း,ङ1योटगौं3,Pepper,kg_book,င,11
Seasoning,သကြား,थ1चा3,Sugar,kg_book,သ,5
Seasoning,Mayonnaise,,Mayonnaise,kg_book,,10
Seasoning,Ketchup,,Ketchup,kg_book,,7
Seasoning,မုန်ညင်း,मों12ज्ञिन3,Mustard,kg_book,မ,8
Seasoning,ဆီ,सि2,Oil,kg_book,ဆ,2
Seasoning,ရှလကာရည်,श1ल1गा2ये³¹22,Vinegar,kg_book,ရ,8
Seasoning,ယို,यो2,Jam,kg_book,ယ,3
Seasoning,ဟန်နီ,हं12नि2,Honey,kg_book,ဟ,5
Seasoning,ထောပတ်,थौ3बत1,Butter,kg_book,ထ,6
Sports,အားကစား,आ3ग1झा3,Sport,kg_book,အ,7
Sports,မင်းအားကစားလုပ်နေတာလား။,मिन3आ3ग1झा3लोपने2दा2ला3။,Are you doing sports?,kg_book,မ,23
Sports,ပြေးသည်။,प्ये3दे³¹22။,Running,kg_book,ပ,8
Sports,ရေကူးတယ်။,ये2गु3दे³¹12။,Swimming,kg_book,ရ,9
Sports,နှင်းလျှောစီးခြင်း။,न्हिन3ल्य1,Skiings,kg_book,န,19
Sports,ဘောလုံး,बौ3लों23,Soccer,kg_book,ဘ,7
Sports,ဘတ်စကက်ဘော,बत1झ1गेतबौ3,Basketball,kg_book,ဘ,10
Sports,ဘော်လီဘော,बौ2लि2बौ3,Volleyball,kg_book,ဘ,9
Sports,ဘေ့စ်ဘော,बे1झ1,Baseball,kg_book,ဘ,8
Sports,စားပွဲတင်တင်းနစ်,सा3प्वे³¹13दिन2दिन3ने?2,Table tennis,kg_book,စ,16
Sports,တင်းနစ်,तिन3ने?2,Tennis,kg_book,တ,7
Sports,ကြက်တောင်ရိုက်,चेतदौं2याइ,Badminton,kg_book,က,14
Sports,တိုက်ခိုက်ရေးအားကစား,ताइगाइये3आ3ग1झा3,Fighting sports,kg_book,တ,20
Drinks,သောက်ပါ။,थौ?1बा2။,Drink,kg_book,သ,8
Drinks,သင်ဘာသောက်ချင်ပါသလဲ?,थिन2बा2दौ?1छिन2बा2द1ले³¹111,What would you like to drink?,kg_book,သ,20
Drinks,ရေ,ये2,Water,kg_book,ရ,2
Drinks,လိမ္မော်သီးဖျော်ရည်,लि1म1,Orange juice,kg_book,လ,19
Drinks,သစ်သီးဖျော်ရည်,थे?2दि3फ्यौ2ये³¹22,Fruit juice,kg_book,သ,14
Drinks,ကိုလာ,को2ला2,Cola,kg_book,က,5
Drinks,အချိုရည်,अ1छो2ये³¹22,Soft drink,kg_book,အ,8
Drinks,ဘီယာ,बि2या2,Beer,kg_book,ဘ,4
Drinks,ဝိုင်,वाइन2,Wine,kg_book,ဝ,5
Drinks,လက်ဖက်ရည်,लेतफेतये³¹22,Tea,kg_book,လ,9
Drinks,ကော်ဖီ,कौ2फि2,Coffee,kg_book,က,6
Drinks,ကိုကိုး,को2गोए,Cocoa,kg_book,က,7
Numbers,နံပါတ်များ,နံပါတ်များ,नं32पत4म्या3,kg_book,န,10
0-10,သုည,သုည,थु1ज्ञ1,kg_book,သ,3
0-10,တစ်,တစ်,ते?2,kg_book,တ,3
0-10,နှစ်,နှစ်,न्हे?2,kg_book,န,4
0-10,သုံး,သုံး,थों23,kg_book,သ,4
0-10,လေး,လေး,ले3,kg_book,လ,3
0-10,ခြောက်,ခြောက်,छौ?1,kg_book,ခ,6
0-10,ခုနှစ်,ခုနှစ်,खु1न्हे?2,kg_book,ခ,6
0-10,ရှစ်,ရှစ်,श1,kg_book,ရ,4
0-10,ကိုး,ကိုး,कोए,kg_book,က,4
0-10,တစ်ဆယ်,တစ်ဆယ်,त1से³¹12,kg_book,တ,6
11-20,ဆယ့်တစ်,ဆယ့်တစ် ,स1ते?2,kg_book,ဆ,7
11-20,ဆယ့်နှစ်,ဆယ့်နှစ်,स1न्हे?2,kg_book,ဆ,8
11-20,ဆယ့်သုံး,ဆယ့်သုံး,स1थों23,kg_book,ဆ,8
11-20,ဆယ့်လေး,ဆယ့်လေး,स1ले3,kg_book,ဆ,7
11-20,ဆယ့်ငါး,ဆယ့်ငါး,स1ङा3,kg_book,ဆ,7
11-20,ဆယ့်ခြောက်,ဆယ့်ခြောက်,स1छौ?1,kg_book,ဆ,10
11-20,ဆယ့်ခုနှစ်,ဆယ့်ခုနှစ်,स1खु1न्ह1,kg_book,ဆ,10
11-20,ဆယ့်ရှစ်,ဆယ့်ရှစ်,स1शे?2,kg_book,ဆ,8
11-20,ဆယ့်ကိုး,ဆယ့်ကိုး,स1कोए,kg_book,ဆ,8
11-20,နှစ်ဆယ်,နှစ်ဆယ်,न्ह1से³¹12,kg_book,န,7
21-30,နှစ်ဆယ့်တစ်,နှစ်ဆယ့်တစ်,न्ह1से³¹11ते?2,kg_book,န,11
21-30,နှစ်ဆယ့်နှစ်,နှစ်ဆယ့်နှစ်,न्ह1से³¹11न्ह1,kg_book,န,12
21-30,နှစ်ဆယ့်သုံး,နှစ်ဆယ့်သုံး,न्ह1से³¹11थों23,kg_book,န,12
21-30,နှစ်ဆယ့်လေး,နှစ်ဆယ့်လေး,न्ह1से³¹11ले3,kg_book,န,11
